"Drug","Gene","Disease"
"Ertugliflozin","DAO","SCHIZOPHRENIA"
"LY2881835","DAO","SCHIZOPHRENIA"
"Evorel 50","DAO","SCHIZOPHRENIA"
"LIPSTATIN","DAO","SCHIZOPHRENIA"
"SR141716","DAO","SCHIZOPHRENIA"
"RO 47-0203/029","DAO","SCHIZOPHRENIA"
"Dermestril Septem 50","DAO","SCHIZOPHRENIA"
"Urso Forte","DAO","SCHIZOPHRENIA"
"CB102","DAO","SCHIZOPHRENIA"
"Nindaxa 2.5","DAO","SCHIZOPHRENIA"
"BM-02015","DAO","SCHIZOPHRENIA"
"OPCICON ONE-STEP","DAO","SCHIZOPHRENIA"
"BETINEX","DAO","SCHIZOPHRENIA"
"CA-18C3","DAO","SCHIZOPHRENIA"
"Tofogliflozin","DAO","SCHIZOPHRENIA"
"Jadelle","DAO","SCHIZOPHRENIA"
"Athentia next","DAO","SCHIZOPHRENIA"
"GSK-189075A","DAO","SCHIZOPHRENIA"
"BUMEX","DAO","SCHIZOPHRENIA"
"XEN-D0501","DAO","SCHIZOPHRENIA"
"KYLEENA","DAO","SCHIZOPHRENIA"
"Remogliflozin Etabonate","DAO","SCHIZOPHRENIA"
"OPUMIDE 2.5","DAO","SCHIZOPHRENIA"
"Dolobid","DAO","SCHIZOPHRENIA"
"Calan","DAO","SCHIZOPHRENIA"
"SKYLA","DAO","SCHIZOPHRENIA"
"MK-0634","DAO","SCHIZOPHRENIA"
"MBX-2044","DAO","SCHIZOPHRENIA"
"PF-734200","DAO","SCHIZOPHRENIA"
"EVOREL 100","DAO","SCHIZOPHRENIA"
"Lixil","DAO","SCHIZOPHRENIA"
"DE-101","DAO","SCHIZOPHRENIA"
"WY-5104","DAO","SCHIZOPHRENIA"
"AMG-131","DAO","SCHIZOPHRENIA"
"R-106056","DAO","SCHIZOPHRENIA"
"CB-154","DAO","SCHIZOPHRENIA"
"CS-011","DAO","SCHIZOPHRENIA"
"GLUCAGEN","DAO","SCHIZOPHRENIA"
"Lederdopa","DAO","SCHIZOPHRENIA"
"Arcalyst","DAO","SCHIZOPHRENIA"
"SECUKINUMAB","DAO","SCHIZOPHRENIA"
"DF-2156A","DAO","SCHIZOPHRENIA"
"METALPHA 250","DAO","SCHIZOPHRENIA"
"STELARA","DAO","SCHIZOPHRENIA"
"Methyldopa (levorotatory)","DAO","SCHIZOPHRENIA"
"U-31889","DAO","SCHIZOPHRENIA"
"Mabthera Rituxan","DAO","SCHIZOPHRENIA"
"CHAGLYCD3","DAO","SCHIZOPHRENIA"
"Anti-Cd11A","DAO","SCHIZOPHRENIA"
"RILONACEPT","DAO","SCHIZOPHRENIA"
"IL-1 TRAP","DAO","SCHIZOPHRENIA"
"TT-20","DAO","SCHIZOPHRENIA"
"Xanax Xr","DAO","SCHIZOPHRENIA"
"Brethine","DAO","SCHIZOPHRENIA"
"DOPAMET","DAO","SCHIZOPHRENIA"
"Humanzied OKT3","DAO","SCHIZOPHRENIA"
"Golimumab","DAO","SCHIZOPHRENIA"
"ChAglyCD","DAO","SCHIZOPHRENIA"
"SIMPONI","DAO","SCHIZOPHRENIA"
"Xanax","DAO","SCHIZOPHRENIA"
"Prevacid","DAO","SCHIZOPHRENIA"
"MGA031","DAO","SCHIZOPHRENIA"
"Alpha-Methyldopa","DAO","SCHIZOPHRENIA"
"METRELEPTIN","DAO","SCHIZOPHRENIA"
"RITUXAN","DAO","SCHIZOPHRENIA"
"ALDOMET","DAO","SCHIZOPHRENIA"
"Brethaire","DAO","SCHIZOPHRENIA"
"METHYLDOPA","DAO","SCHIZOPHRENIA"
"STELERA","DAO","SCHIZOPHRENIA"
"Niravam","DAO","SCHIZOPHRENIA"
"ITAVASTATIN","DAO","SCHIZOPHRENIA"
"Raptiva","DAO","SCHIZOPHRENIA"
"MK-351","DAO","SCHIZOPHRENIA"
"TEPLIZUMAB","DAO","SCHIZOPHRENIA"
"TRX-4","DAO","SCHIZOPHRENIA"
"EFALIZUMAB","DAO","SCHIZOPHRENIA"
"INTERLEUKIN-1 TRAP","DAO","SCHIZOPHRENIA"
"CNTO-1275","DAO","SCHIZOPHRENIA"
"OTELIXIZUMAB","DAO","SCHIZOPHRENIA"
"Terbutaline","DAO","SCHIZOPHRENIA"
"Ustekinumab ","DAO","SCHIZOPHRENIA"
"CNTO-148","DAO","SCHIZOPHRENIA"
"Mabthera","DAO","SCHIZOPHRENIA"
"Pitavastatin","DAO","SCHIZOPHRENIA"
"Medomet","DAO","SCHIZOPHRENIA"
"METALPHA 500","DAO","SCHIZOPHRENIA"
"Bricanyl","DAO","SCHIZOPHRENIA"
"AIN-457","DAO","SCHIZOPHRENIA"
"Ladarixin","DAO","SCHIZOPHRENIA"
"hu1124","DAO","SCHIZOPHRENIA"
"HOKT3","DAO","SCHIZOPHRENIA"
"REPARIXIN","DAO","SCHIZOPHRENIA"
"hOKT3 gamma 1 (Ala-Ala)","DAO","SCHIZOPHRENIA"
"U-31,889","DAO","SCHIZOPHRENIA"
"Methylprednisolone","DAO","SCHIZOPHRENIA"
"Fibrinolysin","DAO","SCHIZOPHRENIA"
"FIBRINOLYSIN (HUMAN)","DAO","SCHIZOPHRENIA"
"CORTALONE","DAO","SCHIZOPHRENIA"
"PETHIDINE","DAO","SCHIZOPHRENIA"
"ANTEGRAN","DAO","SCHIZOPHRENIA"
"Buspar","DAO","SCHIZOPHRENIA"
"Streptokinase","DAO","SCHIZOPHRENIA"
"ACTASE","DAO","SCHIZOPHRENIA"
"Plasmin","DAO","SCHIZOPHRENIA"
"Fibrinolysin, Human","DAO","SCHIZOPHRENIA"
"METI-DERM","DAO","SCHIZOPHRENIA"
"Kabikinase","DAO","SCHIZOPHRENIA"
"AN100226m","DAO","SCHIZOPHRENIA"
"Fetzima","DAO","SCHIZOPHRENIA"
"Streptase","DAO","SCHIZOPHRENIA"
"CHEMBL5122","DDR1","SCHIZOPHRENIA"
"Imbruvica","DENND1A","UNIPOLAR DEPRESSION"
"IBRUTINIB","DENND1A","UNIPOLAR DEPRESSION"
"CHEMBL5251","DENND1A","UNIPOLAR DEPRESSION"
"Calquence","DENND1A","UNIPOLAR DEPRESSION"
"MSC-2364447","DENND1A","UNIPOLAR DEPRESSION"
"Spebrutinib","DENND1A","UNIPOLAR DEPRESSION"
"SPEBRUTINIB BESYLATE","DENND1A","UNIPOLAR DEPRESSION"
"AVL-292","DENND1A","UNIPOLAR DEPRESSION"
"CC-292","DENND1A","UNIPOLAR DEPRESSION"
"ONO-4059","DENND1A","UNIPOLAR DEPRESSION"
"HM-71224","DENND1A","UNIPOLAR DEPRESSION"
"CHEMBL2959","DENND1A","UNIPOLAR DEPRESSION"
"XL418","DENND1A","UNIPOLAR DEPRESSION"
"CHEMBL2363043","EPHA1","ALZHEIMER'S DISEASE"
"KB-004","EPHA1","ALZHEIMER'S DISEASE"
"CHEMBL4954","EPHA1","ALZHEIMER'S DISEASE"
"Medised Plain","FAAH","ALZHEIMER'S DISEASE"
"DISPROL INFANT","FAAH","ALZHEIMER'S DISEASE"
"Medinol For Children","FAAH","ALZHEIMER'S DISEASE"
"Calpol Six Plus Fastmelts","FAAH","ALZHEIMER'S DISEASE"
"MEDINOL OVER 6","FAAH","ALZHEIMER'S DISEASE"
"Disprol","FAAH","ALZHEIMER'S DISEASE"
"Hedex","FAAH","ALZHEIMER'S DISEASE"
"Panadol","FAAH","ALZHEIMER'S DISEASE"
"Fennings","FAAH","ALZHEIMER'S DISEASE"
"Panadol Advan","FAAH","ALZHEIMER'S DISEASE"
"Paramin","FAAH","ALZHEIMER'S DISEASE"
"PANADOL ACTIFAST SOLB","FAAH","ALZHEIMER'S DISEASE"
"Abdine","FAAH","ALZHEIMER'S DISEASE"
"Panadol Jnr","FAAH","ALZHEIMER'S DISEASE"
"GALPAMOL","FAAH","ALZHEIMER'S DISEASE"
"Tylenol","FAAH","ALZHEIMER'S DISEASE"
"Calpol Six Plus","FAAH","ALZHEIMER'S DISEASE"
"Perfalgan","FAAH","ALZHEIMER'S DISEASE"
"TRAMIL 500","FAAH","ALZHEIMER'S DISEASE"
"INJECTAPAP","FAAH","ALZHEIMER'S DISEASE"
"Panaleve 6 Plus","FAAH","ALZHEIMER'S DISEASE"
"JUNIOR PARAPAED","FAAH","ALZHEIMER'S DISEASE"
"CHEMBL2243","FAAH","ALZHEIMER'S DISEASE"
"CHEMBL3989384","FAAH","ALZHEIMER'S DISEASE"
"1-DODECANOL","FAAH","ALZHEIMER'S DISEASE"
"4-(3-{[5-(trifluoromethyl)pyridin-2-yl]oxy}benzyl)piperidine-1-carboxylic acid","FAAH","ALZHEIMER'S DISEASE"
"4-(quinolin-3-ylmethyl)piperidine-1-carboxylic acid","FAAH","ALZHEIMER'S DISEASE"
"Methoxy arachidonyl fluorophosphonate","FAAH","ALZHEIMER'S DISEASE"
"Propofol","FAAH","ALZHEIMER'S DISEASE"
"CHEMBL2120","FGF14","AUTISM"
"NAPHURIDE","FGF14","AUTISM"
"SURAMIN HEXASODIUM","FGF14","AUTISM"
"Suramin sodium","FGF14","AUTISM"
"CI-1003","FGF14","AUTISM"
"5-AMINO-NAPHTALENE-2-MONOSULFONATE","FGF14","AUTISM"
"Formic acid","FGF14","AUTISM"
"Naphthalene Trisulfonate","FGF14","AUTISM"
"O2-Sulfo-Glucuronic Acid","FGF14","AUTISM"
"Abituzumab","FGF14","AUTISM"
"ETARATUZUMAB","FGF14","AUTISM"
"CNTO-095","FGF14","AUTISM"
"ETARACIZUMAB","FGF14","AUTISM"
"ABEGRIN","FGF14","AUTISM"
"INTETUMUMAB","FGF14","AUTISM"
"CNTO-95","FGF14","AUTISM"
"STX-100","FGF14","AUTISM"
"ALD403","FGF14","AUTISM"
"DI17E6","FGF14","AUTISM"
"C7E3","FGF14","AUTISM"
"CHEMBL3107","FGFR3","ALZHEIMER'S DISEASE"
"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid","FGFR3","ALZHEIMER'S DISEASE"
"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid","FGFR3","ALZHEIMER'S DISEASE"
"ABT-510","FGFR3","ALZHEIMER'S DISEASE"
"Sucralfate","FGFR3","ALZHEIMER'S DISEASE"
"REGN1500","FURIN","SCHIZOPHRENIA"
"EVINACUMAB","FURIN","SCHIZOPHRENIA"
"CHEMBL3710485","FURIN","SCHIZOPHRENIA"
"Lesogaberan","GABBR2","ALZHEIMER'S DISEASE"
"AZD-3355","GABBR2","ALZHEIMER'S DISEASE"
"CHEMBL5034","GABBR2","ALZHEIMER'S DISEASE"
"ARBACLOFEN PLACARBIL","GABBR2","ALZHEIMER'S DISEASE"
"XP19986","GABBR2","ALZHEIMER'S DISEASE"
"CHEMBL2111463","GABBR2","ALZHEIMER'S DISEASE"
"Arbaclofen","GABBR2","ALZHEIMER'S DISEASE"
"STX209","GABBR2","ALZHEIMER'S DISEASE"
"WY-3478","GABBR2","ALZHEIMER'S DISEASE"
"XYREM","GABBR2","ALZHEIMER'S DISEASE"
"Sodium oxybate","GABBR2","ALZHEIMER'S DISEASE"
"KEMSTRO","GABBR2","ALZHEIMER'S DISEASE"
"LIORESAL INTRATH","GABBR2","ALZHEIMER'S DISEASE"
"BA-34,647","GABBR2","ALZHEIMER'S DISEASE"
"Lioresal","GABBR2","ALZHEIMER'S DISEASE"
"GABLOFEN","GABBR2","ALZHEIMER'S DISEASE"
"Baclofen","GABBR2","ALZHEIMER'S DISEASE"
"BACLOSPAS-10","GABBR2","ALZHEIMER'S DISEASE"
"LYFLEX","GABBR2","ALZHEIMER'S DISEASE"
"BA-34647","GABBR2","ALZHEIMER'S DISEASE"
"gamma-Aminobutyric acid","GABBR2","ALZHEIMER'S DISEASE"
"SGS-742","GABBR2","ALZHEIMER'S DISEASE"
"Progabide","GABBR2","ALZHEIMER'S DISEASE"
"Tezampanel","GABBR2","ALZHEIMER'S DISEASE"
"Vigabatrin","GABBR2","ALZHEIMER'S DISEASE"
"Oxybate","GABBR2","ALZHEIMER'S DISEASE"
"XIAFLEX","GAK","PARKINSON'S DISEASE"
"Collagenase","GAK","PARKINSON'S DISEASE"
"Santyl","GAK","PARKINSON'S DISEASE"
"OCRIPLASMIN","GAK","PARKINSON'S DISEASE"
"COLLAGENASE CLOSTRIDIUM HISTOLYTICUM","GAK","PARKINSON'S DISEASE"
"AA4500","GAK","PARKINSON'S DISEASE"
"IMETELSTAT","GRN","ALZHEIMER'S DISEASE"
"GRN163L","GRN","ALZHEIMER'S DISEASE"
"CHEMBL2916","GRN","ALZHEIMER'S DISEASE"
"IMETELSTAT SODIUM","GRN","ALZHEIMER'S DISEASE"
"Tertomotide","GRN","ALZHEIMER'S DISEASE"
"Zidovudine","GRN","ALZHEIMER'S DISEASE"
"VERZENIO","GRN","ALZHEIMER'S DISEASE"
"Bortezomib","GRN","ALZHEIMER'S DISEASE"
"GANITE","GRN","ALZHEIMER'S DISEASE"
"Lorvotuzumab Mertansine","GRN","ALZHEIMER'S DISEASE"
"TBO-FILGRASTIM","GRN","ALZHEIMER'S DISEASE"
"Ikervis","GRN","ALZHEIMER'S DISEASE"
"BICNU","GRN","ALZHEIMER'S DISEASE"
"GENGRAF","GRN","ALZHEIMER'S DISEASE"
"ABEMACICLIB","GRN","ALZHEIMER'S DISEASE"
"Deltasone","GRN","ALZHEIMER'S DISEASE"
"BECATECARIN","GRN","ALZHEIMER'S DISEASE"
"VEPESID","GRN","ALZHEIMER'S DISEASE"
"Irinotecan","GRN","ALZHEIMER'S DISEASE"
"Cortancyl","GRN","ALZHEIMER'S DISEASE"
"Rituxan","GRN","ALZHEIMER'S DISEASE"
"MABCAMPATH","GRN","ALZHEIMER'S DISEASE"
"BMY-40481","GRN","ALZHEIMER'S DISEASE"
"DELTA-DOME","GRN","ALZHEIMER'S DISEASE"
"Cortigel","GRN","ALZHEIMER'S DISEASE"
"Gallium Nitrate","GRN","ALZHEIMER'S DISEASE"
"TORISEL","GRN","ALZHEIMER'S DISEASE"
"Decitabine","GRN","ALZHEIMER'S DISEASE"
"REPOSITORY CORTICOTROPIN","GRN","ALZHEIMER'S DISEASE"
"Tasmar","GRN","ALZHEIMER'S DISEASE"
"Vaniqa","GRN","ALZHEIMER'S DISEASE"
"MABTHERA","GRN","ALZHEIMER'S DISEASE"
"HYCAMTIN","GRN","ALZHEIMER'S DISEASE"
"MLN8237","GRN","ALZHEIMER'S DISEASE"
"GLIADEL","GRN","ALZHEIMER'S DISEASE"
"Retin-A","GRN","ALZHEIMER'S DISEASE"
"Ro-43780","GRN","ALZHEIMER'S DISEASE"
"XALKORI","GRN","ALZHEIMER'S DISEASE"
"LIQUID PRED","GRN","ALZHEIMER'S DISEASE"
"Purified Cortrophin Gel","GRN","ALZHEIMER'S DISEASE"
"CORTICOTROPIN","GRN","ALZHEIMER'S DISEASE"
"CORTROPHIN","GRN","ALZHEIMER'S DISEASE"
"ETOPOPHOS PRESERVATIVE FREE","GRN","ALZHEIMER'S DISEASE"
"Bevacizumab","GRN","ALZHEIMER'S DISEASE"
"MABTHERA RITUXAN","GRN","ALZHEIMER'S DISEASE"
"IMGN-901","GRN","ALZHEIMER'S DISEASE"
"ACTH","GRN","ALZHEIMER'S DISEASE"
"CARMUSTINE","GRN","ALZHEIMER'S DISEASE"
"CAPRELSA","GRN","ALZHEIMER'S DISEASE"
"Aclasta","GRN","ALZHEIMER'S DISEASE"
"Ornidyl","GRN","ALZHEIMER'S DISEASE"
"ALISERTIB","GRN","ALZHEIMER'S DISEASE"
"Adrenomone","GRN","ALZHEIMER'S DISEASE"
"Ro-407592","GRN","ALZHEIMER'S DISEASE"
"BCNU","GRN","ALZHEIMER'S DISEASE"
"Pembrolizumab","GRN","ALZHEIMER'S DISEASE"
"Eflornithine","GRN","ALZHEIMER'S DISEASE"
"Acthar Gel","GRN","ALZHEIMER'S DISEASE"
"Ciclosporin","GRN","ALZHEIMER'S DISEASE"
"LY2835219","GRN","ALZHEIMER'S DISEASE"
"ETOPOSIDE PHOSPHATE","GRN","ALZHEIMER'S DISEASE"
"Camptosar","GRN","ALZHEIMER'S DISEASE"
"CAMPATH-1H","GRN","ALZHEIMER'S DISEASE"
"CORTICOTROPIN, REPOSITORY","GRN","ALZHEIMER'S DISEASE"
"Adrenocorticotropic Hormone","GRN","ALZHEIMER'S DISEASE"
"H.P. ACTHAR GEL","GRN","ALZHEIMER'S DISEASE"
"NVP-LEE011","GRN","ALZHEIMER'S DISEASE"
"LEE-011","GRN","ALZHEIMER'S DISEASE"
"ACTHAR","GRN","ALZHEIMER'S DISEASE"
"ETOPOPHOS","GRN","ALZHEIMER'S DISEASE"
"HUN901-DM1, BB-10901","GRN","ALZHEIMER'S DISEASE"
"Adrenocorticotropin","GRN","ALZHEIMER'S DISEASE"
"Ro-40-7592","GRN","ALZHEIMER'S DISEASE"
"Ribociclib","GRN","ALZHEIMER'S DISEASE"
"CYT-387","GRN","ALZHEIMER'S DISEASE"
"Iscover","GRN","ALZHEIMER'S DISEASE"
"NU-SEALS CARDIO 75","GRN","ALZHEIMER'S DISEASE"
"PLATET 300","GRN","ALZHEIMER'S DISEASE"
"Hydroxyurea","GRN","ALZHEIMER'S DISEASE"
"XL-019","GRN","ALZHEIMER'S DISEASE"
"CYT-11387","GRN","ALZHEIMER'S DISEASE"
"Gencardia","GRN","ALZHEIMER'S DISEASE"
"Momelotinib","GRN","ALZHEIMER'S DISEASE"
"Grepid","GRN","ALZHEIMER'S DISEASE"
"Hydrea","GRN","ALZHEIMER'S DISEASE"
"ACETYLSALIC ACID","GRN","ALZHEIMER'S DISEASE"
"NU-SEALS 75","GRN","ALZHEIMER'S DISEASE"
"Disprin Direct","GRN","ALZHEIMER'S DISEASE"
"GS-0387","GRN","ALZHEIMER'S DISEASE"
"ANAGRELIDE","GRN","ALZHEIMER'S DISEASE"
"Xagrid","GRN","ALZHEIMER'S DISEASE"
"Agrylin","GRN","ALZHEIMER'S DISEASE"
"AZD-1480","GRN","ALZHEIMER'S DISEASE"
"CEDOCARD","GRN","ALZHEIMER'S DISEASE"
"NITROMIN","GRN","ALZHEIMER'S DISEASE"
"TRANSDERM-NITRO","GRN","ALZHEIMER'S DISEASE"
"CEDOCARD-20","GRN","ALZHEIMER'S DISEASE"
"Vascardin","GRN","ALZHEIMER'S DISEASE"
"Isoket 0.05%","GRN","ALZHEIMER'S DISEASE"
"SORBITRATE","GRN","ALZHEIMER'S DISEASE"
"ISOSORBIDE MONONITRATE","GRN","ALZHEIMER'S DISEASE"
"Elantan LA 25","GRN","ALZHEIMER'S DISEASE"
"Nipride","GRN","ALZHEIMER'S DISEASE"
"Isoket Ret 40","GRN","ALZHEIMER'S DISEASE"
"Inomax","GRN","ALZHEIMER'S DISEASE"
"ISOTARD 40 XL","GRN","ALZHEIMER'S DISEASE"
"NITROGLYCERIN","GRN","ALZHEIMER'S DISEASE"
"TRANSIDERM-NITRO 5","GRN","ALZHEIMER'S DISEASE"
"Sodium Nitroferricyanide","GRN","ALZHEIMER'S DISEASE"
"SONI-SLO","GRN","ALZHEIMER'S DISEASE"
"CARVASIN","GRN","ALZHEIMER'S DISEASE"
"ISODUR 25 XL","GRN","ALZHEIMER'S DISEASE"
"VASOTRATE 60 SR","GRN","ALZHEIMER'S DISEASE"
"ASTRODUR MR","GRN","ALZHEIMER'S DISEASE"
"SLOMON XL 60","GRN","ALZHEIMER'S DISEASE"
"ISOCARD","GRN","ALZHEIMER'S DISEASE"
"MINITRAN 15","GRN","ALZHEIMER'S DISEASE"
"Minitran 5","GRN","ALZHEIMER'S DISEASE"
"TRINTEK 10","GRN","ALZHEIMER'S DISEASE"
"TENKOSORB","GRN","ALZHEIMER'S DISEASE"
"Isoket 5","GRN","ALZHEIMER'S DISEASE"
"SORBID SA","GRN","ALZHEIMER'S DISEASE"
"ANGEZE 20","GRN","ALZHEIMER'S DISEASE"
"ELANTAN 20","GRN","ALZHEIMER'S DISEASE"
"SORBID-40 SA","GRN","ALZHEIMER'S DISEASE"
"ISOTARD 25 XL","GRN","ALZHEIMER'S DISEASE"
"ISOKET RET 20","GRN","ALZHEIMER'S DISEASE"
"Suscard Buccal","GRN","ALZHEIMER'S DISEASE"
"ANGEZE 10","GRN","ALZHEIMER'S DISEASE"
"RECTIV","GRN","ALZHEIMER'S DISEASE"
"Cedocard-40","GRN","ALZHEIMER'S DISEASE"
"CIBRAL 40","GRN","ALZHEIMER'S DISEASE"
"DILATRATE-SR","GRN","ALZHEIMER'S DISEASE"
"Imtack","GRN","ALZHEIMER'S DISEASE"
"ISOKET 0.1%","GRN","ALZHEIMER'S DISEASE"
"Adempas","GRN","ALZHEIMER'S DISEASE"
"Jeridin","GRN","ALZHEIMER'S DISEASE"
"CEDOCARD RET","GRN","ALZHEIMER'S DISEASE"
"MONO-CEDOCARD 20","GRN","ALZHEIMER'S DISEASE"
"RIOCIGUAT","GRN","ALZHEIMER'S DISEASE"
"ANGEZE SR 40","GRN","ALZHEIMER'S DISEASE"
"Sorbichew","GRN","ALZHEIMER'S DISEASE"
"Monit","GRN","ALZHEIMER'S DISEASE"
"IMO LA","GRN","ALZHEIMER'S DISEASE"
"DEPONIT 10","GRN","ALZHEIMER'S DISEASE"
"PERCUTOL","GRN","ALZHEIMER'S DISEASE"
"Modisal LA 25","GRN","ALZHEIMER'S DISEASE"
"SORBIDE NITRATE","GRN","ALZHEIMER'S DISEASE"
"Angitak","GRN","ALZHEIMER'S DISEASE"
"Imdur","GRN","ALZHEIMER'S DISEASE"
"Monodur","GRN","ALZHEIMER'S DISEASE"
"MONIGEN XL 60","GRN","ALZHEIMER'S DISEASE"
"ISOTARD 50 XL","GRN","ALZHEIMER'S DISEASE"
"BAY 63-2521","GRN","ALZHEIMER'S DISEASE"
"Sodium Nitroprusside","GRN","ALZHEIMER'S DISEASE"
"CEDOCARD-5","GRN","ALZHEIMER'S DISEASE"
"ISIB 50 XL","GRN","ALZHEIMER'S DISEASE"
"NITRO-MACK RET","GRN","ALZHEIMER'S DISEASE"
"Phasonit LA 50","GRN","ALZHEIMER'S DISEASE"
"Modisal LA 50","GRN","ALZHEIMER'S DISEASE"
"Trinitrin Tablets","GRN","ALZHEIMER'S DISEASE"
"DILATRATE","GRN","ALZHEIMER'S DISEASE"
"NITRO IV","GRN","ALZHEIMER'S DISEASE"
"Monit LS","GRN","ALZHEIMER'S DISEASE"
"ISORDIL","GRN","ALZHEIMER'S DISEASE"
"CEDOCARD-10","GRN","ALZHEIMER'S DISEASE"
"ISORDIL TEMBIDS","GRN","ALZHEIMER'S DISEASE"
"ISIB 60 XL","GRN","ALZHEIMER'S DISEASE"
"Nitriderm TTS","GRN","ALZHEIMER'S DISEASE"
"SORBIDILAT","GRN","ALZHEIMER'S DISEASE"
"Isoket 20","GRN","ALZHEIMER'S DISEASE"
"Eumon 60 XL","GRN","ALZHEIMER'S DISEASE"
"Angeze SR 60","GRN","ALZHEIMER'S DISEASE"
"NITROPRESS","GRN","ALZHEIMER'S DISEASE"
"SORBID-20 SA","GRN","ALZHEIMER'S DISEASE"
"Ziotan XL","GRN","ALZHEIMER'S DISEASE"
"Iso Mack","GRN","ALZHEIMER'S DISEASE"
"CARMIL XL","GRN","ALZHEIMER'S DISEASE"
"Isosorbide Dinitrate","GRN","ALZHEIMER'S DISEASE"
"Isotrate","GRN","ALZHEIMER'S DISEASE"
"ELANTAN LA 50","GRN","ALZHEIMER'S DISEASE"
"Monomax XL","GRN","ALZHEIMER'S DISEASE"
"ISOKET 10","GRN","ALZHEIMER'S DISEASE"
"IDELALISIB","GRN","ALZHEIMER'S DISEASE"
"Obatoclax","GRN","ALZHEIMER'S DISEASE"
"ARA-CYTIDINE","GRN","ALZHEIMER'S DISEASE"
"MAXTREX","GRN","ALZHEIMER'S DISEASE"
"ZLATAL","GRN","ALZHEIMER'S DISEASE"
"Amethopterin","GRN","ALZHEIMER'S DISEASE"
"AP23573","GRN","ALZHEIMER'S DISEASE"
"Vismodegib","GRN","ALZHEIMER'S DISEASE"
"AB-0024","GRN","ALZHEIMER'S DISEASE"
"GS-6624","GRN","ALZHEIMER'S DISEASE"
"Arabinosyl Cytosine","GRN","ALZHEIMER'S DISEASE"
"NAVITOCLAX","GRN","ALZHEIMER'S DISEASE"
"Simtuzumab","GRN","ALZHEIMER'S DISEASE"
"Erivedge","GRN","ALZHEIMER'S DISEASE"
"ABT-263","GRN","ALZHEIMER'S DISEASE"
"TAK-901","GRN","ALZHEIMER'S DISEASE"
"NS-018","GRN","ALZHEIMER'S DISEASE"
"BUDELIN NOVOLIZER","GRN","ALZHEIMER'S DISEASE"
"MK-4827","GRN","ALZHEIMER'S DISEASE"
"VENTAVIS","GRN","ALZHEIMER'S DISEASE"
"Calciferol In Arach Oil","GRN","ALZHEIMER'S DISEASE"
"MK-1775","GRN","ALZHEIMER'S DISEASE"
"REFLUDAN","GRN","ALZHEIMER'S DISEASE"
"ARRY-162","GRN","ALZHEIMER'S DISEASE"
"BONDRONAT","GRN","ALZHEIMER'S DISEASE"
"Figitumumab","GRN","ALZHEIMER'S DISEASE"
"ARRY-438162","GRN","ALZHEIMER'S DISEASE"
"Preferid","GRN","ALZHEIMER'S DISEASE"
"INCB-39110","GRN","ALZHEIMER'S DISEASE"
"Alectinib","GRN","ALZHEIMER'S DISEASE"
"PASIREOTIDE","GRN","ALZHEIMER'S DISEASE"
"Pulmicort Flexhaler","GRN","ALZHEIMER'S DISEASE"
"UCERIS","GRN","ALZHEIMER'S DISEASE"
"CAROTUXIMAB","GRN","ALZHEIMER'S DISEASE"
"TACEDINALINE","GRN","ALZHEIMER'S DISEASE"
"PDX","GRN","ALZHEIMER'S DISEASE"
"FK-228","GRN","ALZHEIMER'S DISEASE"
"MGCD-0103","GRN","ALZHEIMER'S DISEASE"
"Anetumab ravtansine","GRN","ALZHEIMER'S DISEASE"
"ERGO-D2","GRN","ALZHEIMER'S DISEASE"
"PULMICORT","GRN","ALZHEIMER'S DISEASE"
"CALCIFEROL","GRN","ALZHEIMER'S DISEASE"
"EFAPROXIRAL","GRN","ALZHEIMER'S DISEASE"
"B2036-PEG","GRN","ALZHEIMER'S DISEASE"
"CH5424802","GRN","ALZHEIMER'S DISEASE"
"Palbociclib","GRN","ALZHEIMER'S DISEASE"
"METHYLPREDNISOLONE","GRN","ALZHEIMER'S DISEASE"
"Itacitinib","GRN","ALZHEIMER'S DISEASE"
"Pegvisomant","GRN","ALZHEIMER'S DISEASE"
"GIOTRIF","GRN","ALZHEIMER'S DISEASE"
"PRO-143996","GRN","ALZHEIMER'S DISEASE"
"ZEJULA","GRN","ALZHEIMER'S DISEASE"
"STEROGYL-15","GRN","ALZHEIMER'S DISEASE"
"RHINOCORT ALLERGY","GRN","ALZHEIMER'S DISEASE"
"Flolipid","GRN","ALZHEIMER'S DISEASE"
"LANES","GRN","ALZHEIMER'S DISEASE"
"HR3","GRN","ALZHEIMER'S DISEASE"
"IMC-C225","GRN","ALZHEIMER'S DISEASE"
"PRALATREXATE","GRN","ALZHEIMER'S DISEASE"
"Metmab","GRN","ALZHEIMER'S DISEASE"
"Ibandronic Acid","GRN","ALZHEIMER'S DISEASE"
"AFATINIB","GRN","ALZHEIMER'S DISEASE"
"TRAMETINIB","GRN","ALZHEIMER'S DISEASE"
"TAGRISSO","GRN","ALZHEIMER'S DISEASE"
"KETALAR","GRN","ALZHEIMER'S DISEASE"
"SOMAVERT","GRN","ALZHEIMER'S DISEASE"
"ONARTUZUMAB","GRN","ALZHEIMER'S DISEASE"
"Diphenhydramine","GRN","ALZHEIMER'S DISEASE"
"ENTOCORT EC","GRN","ALZHEIMER'S DISEASE"
"FR-901228","GRN","ALZHEIMER'S DISEASE"
